user_id	invite_date	sample_group
26673158	2015-11-02	control
26673435	2015-11-02	control
26673452	2015-11-02	invited
26673898	2015-11-02	control
26674207	2015-11-02	invited
26674336	2015-11-02	invited
26674641	2015-11-02	control
26674835	2015-11-02	control
26674845	2015-11-02	control
26674924	2015-11-02	control
26675011	2015-11-02	control
26675025	2015-11-02	invited
26675400	2015-11-02	control
26675970	2015-11-02	invited
26676749	2015-11-02	control
26677388	2015-11-02	control
26677780	2015-11-02	invited
26677781	2015-11-02	invited
26678390	2015-11-02	invited
26678393	2015-11-02	invited
26679121	2015-11-02	invited
26679186	2015-11-02	control
26679218	2015-11-02	control
26679285	2015-11-02	control
26679290	2015-11-02	invited
26679298	2015-11-02	invited
26679309	2015-11-02	control
26679503	2015-11-02	invited
26679618	2015-11-02	invited
26679627	2015-11-02	control
26679637	2015-11-02	invited
26679679	2015-11-02	control
26679705	2015-11-02	invited
26679734	2015-11-02	invited
26679751	2015-11-02	control
26679797	2015-11-02	control
26679807	2015-11-02	invited
26679826	2015-11-02	control
26679872	2015-11-02	invited
26679908	2015-11-02	control
26680009	2015-11-02	control
26680068	2015-11-02	invited
26680159	2015-11-02	invited
26680205	2015-11-02	control
26680285	2015-11-02	control
26680368	2015-11-02	control
26680478	2015-11-02	control
26680480	2015-11-02	invited
26680552	2015-11-02	invited
26680567	2015-11-02	invited
26680657	2015-11-02	invited
26680670	2015-11-02	invited
26680687	2015-11-02	control
26680714	2015-11-02	invited
26680732	2015-11-02	invited
26680753	2015-11-02	control
26680757	2015-11-02	invited
26680776	2015-11-02	invited
26680848	2015-11-02	invited
26680895	2015-11-02	control
26680937	2015-11-02	control
26680974	2015-11-02	control
26681007	2015-11-02	control
26681008	2015-11-02	invited
26681023	2015-11-02	invited
26681157	2015-11-02	control
26681233	2015-11-02	control
26681242	2015-11-02	control
26681283	2015-11-02	invited
26681293	2015-11-02	control
26681359	2015-11-02	control
26681409	2015-11-02	invited
26681498	2015-11-02	invited
26681504	2015-11-02	invited
26681523	2015-11-02	control
26681530	2015-11-02	control
26681549	2015-11-02	invited
26681582	2015-11-02	control
26681681	2015-11-02	invited
26681725	2015-11-02	control
26681770	2015-11-02	invited
26681781	2015-11-02	control
26681787	2015-11-02	control
26681801	2015-11-02	invited
26681827	2015-11-02	control
26681831	2015-11-02	invited
26681938	2015-11-02	invited
26681947	2015-11-02	invited
26682017	2015-11-02	invited
26682037	2015-11-02	invited
26682082	2015-11-02	control
26682129	2015-11-02	control
26682194	2015-11-02	invited
26682221	2015-11-02	invited
26682225	2015-11-02	control
26682314	2015-11-02	control
26682564	2015-11-02	control
26682577	2015-11-02	control
26682667	2015-11-02	invited
26682687	2015-11-02	invited
26682871	2015-11-02	control
26682900	2015-11-02	invited
26682907	2015-11-02	invited
26682912	2015-11-02	control
26682950	2015-11-02	control
26682952	2015-11-02	control
26682981	2015-11-02	control
26683067	2015-11-02	invited
26683124	2015-11-02	invited
26683176	2015-11-02	control
26683193	2015-11-02	invited
26683198	2015-11-02	invited
26683278	2015-11-02	control
26683350	2015-11-02	invited
26683490	2015-11-02	control
26683505	2015-11-02	invited
26683567	2015-11-02	invited
26683629	2015-11-02	invited
26683643	2015-11-02	control
26683651	2015-11-02	control
26683721	2015-11-02	control
26683753	2015-11-02	invited
26683769	2015-11-02	control
26683811	2015-11-02	invited
26683845	2015-11-02	invited
26683854	2015-11-02	invited
26683898	2015-11-02	invited
26683913	2015-11-02	invited
26684016	2015-11-02	control
26684022	2015-11-02	control
26684062	2015-11-02	invited
26684143	2015-11-02	invited
26684168	2015-11-02	invited
26684178	2015-11-02	invited
26684190	2015-11-02	control
26684193	2015-11-02	control
26684246	2015-11-02	control
26684268	2015-11-02	control
26684318	2015-11-02	control
26684405	2015-11-02	invited
26684422	2015-11-02	invited
26684446	2015-11-02	control
26684498	2015-11-02	invited
26684578	2015-11-02	invited
26684588	2015-11-02	invited
26684666	2015-11-02	control
